speed_kph,command_kind,command_percent,status,valid_trial_count,attempted_trial_count,median_acceleration_mps2,median_simulator_acceleration_mps2,acceleration_source,median_stddev_mps2,median_mad_mps2,median_velocity_derived_acceleration_mps2,median_cross_check_disagreement_mps2,median_peak_abs_jerk_mps3,median_mean_deceleration_mps2,mean_deceleration_repeatability_mad_mps2,median_peak_deceleration_mps2,median_p95_deceleration_mps2,median_command_echo_delay_sec,median_deceleration_onset_delay_sec,median_initial_speed_mps,median_final_speed_mps,median_speed_drop_mps,median_distance_travelled_m,median_measurement_duration_sec,median_sample_rate_hz,median_mean_brake_echo_error,quality_flags,coast_baseline_deceleration_mps2,coast_normalized_brake_deceleration_mps2
0,accelerator,0,complete,3,3,0.0,0.0,simulator_field,0.0,0.0,-1.7993538822118718e-07,1.7993538822118718e-07,0.0,0.0,0.0,0.0,0.0,,,0.00011536708188941702,0.00011537549289641902,-8.41100700199604e-09,0.0,1.348438039975008,48.288325831095044,,['stationary_command_check'],,
0,accelerator,10,complete,3,3,0.5312076928812476,0.0,velocity_derived,0.0,0.0,0.5312076928812476,0.5312076928812476,0.0,0.0,0.0,0.0,0.0,,,0.00032762892078608274,0.7330994606018066,-0.7329840924794553,0.0,1.3198471330106258,49.261041440929226,,"['simulator_acceleration_field_stuck', 'stationary_command_check']",,
0,accelerator,20,complete,3,3,1.0600022864744518,0.0,velocity_derived,0.0,0.0,1.0600022864744518,1.0600022864744518,0.0,0.0,0.0,0.0,0.0,,,0.0003186679969076067,1.4872941970825195,-1.486975529085612,0.0,1.3462404849997256,49.31992814635663,,"['simulator_acceleration_field_stuck', 'stationary_command_check']",,
0,accelerator,30,complete,3,3,1.5945986857882164,0.0,velocity_derived,0.0,0.0,1.5945986857882164,1.5945986857882164,0.0,0.0,0.0,0.0,0.0,,,0.0006424125167541206,2.23069429397583,-2.2300058323307894,0.0,1.3338187949848361,48.73225676861074,,"['simulator_acceleration_field_stuck', 'stationary_command_check']",,
0,accelerator,40,complete,3,3,2.1231364024729023,0.0,velocity_derived,0.0,0.0,2.1231364024729023,2.1231364024729023,0.0,0.0,0.0,0.0,0.0,,,0.0006518516456708312,2.97477388381958,-2.974119087739382,0.0,1.349828770995373,48.28165443299109,,"['simulator_acceleration_field_stuck', 'stationary_command_check']",,
0,accelerator,50,complete,3,3,2.6546164981216647,0.0,velocity_derived,0.0,0.0,2.6546164981216647,2.6546164981216647,0.0,0.0,0.0,0.0,0.0,,,0.00030286077526398003,3.718261241912842,-3.717614221619442,0.0,1.34601897597895,48.78375025745316,,"['simulator_acceleration_field_stuck', 'stationary_command_check']",,
0,accelerator,60,complete,3,3,3.18635249108042,0.0,velocity_derived,0.0,0.0,3.18635249108042,3.18635249108042,0.0,0.0,0.0,1.5011372800744094e-05,0.0,,,0.0006628271657973528,4.460233688354492,-4.459492183057591,0.0,1.3419170310080517,48.27180538825806,,"['simulator_acceleration_field_stuck', 'stationary_command_check']",,
0,accelerator,70,complete,3,3,3.688050261708629,0.0,velocity_derived,0.0,0.0,3.688050261708629,3.688050261708629,0.0,0.0,0.0,0.0,0.0,,,0.0004951125010848045,5.139760494232178,-5.13955275680928,0.0,1.3522423740068916,48.80781823485709,,"['simulator_acceleration_field_stuck', 'stationary_command_check']",,
0,accelerator,80,complete,3,3,4.132712620765979,0.0,velocity_derived,0.0,0.0,4.132712620765979,4.132712620765979,0.0,0.0,0.0,0.0,0.0,,,0.0007888831314630806,5.6889448165893555,-5.688711024340591,0.0,1.3401152189762797,49.24949665926316,,"['simulator_acceleration_field_stuck', 'stationary_command_check']",,
0,accelerator,90,complete,3,3,4.490236993361441,0.0,velocity_derived,0.0,0.0,4.490236993361441,4.490236993361441,0.0,0.0,0.0,0.0,0.0,,,0.000594313140027225,6.202625751495361,-6.202031438355334,0.0,1.3421572519873735,48.742610652814385,,"['simulator_acceleration_field_stuck', 'stationary_command_check']",,
0,accelerator,100,complete,3,3,4.827927097948749,0.0,velocity_derived,0.0,0.0,4.827927097948749,4.827927097948749,0.0,0.0,0.0,0.0,0.0,,,0.00047149983583949506,6.781975746154785,-6.730189435184002,0.0,1.3584142609906849,48.586062363528576,,"['simulator_acceleration_field_stuck', 'stationary_command_check']",,
5,accelerator,0,complete,3,3,0.0,0.0,simulator_field,0.0,0.0,-0.041434925075005825,0.041434925075005825,0.0,0.0,0.0,0.0,0.0,,,1.3716211318969727,1.314194917678833,0.05742621421813965,0.0,1.3502104530052748,48.73408341173028,,[],,
5,accelerator,10,complete,3,3,0.5178858879098637,0.0,velocity_derived,0.0,0.0,0.5178858879098637,0.5178858879098637,0.0,0.0,0.0,0.0,0.0,,,1.376626968383789,2.102174997329712,-0.7250480651855469,0.0,1.3359999060048722,48.89496189663283,,['simulator_acceleration_field_stuck'],,
5,accelerator,20,complete,3,3,1.0500362527096432,0.0,velocity_derived,0.0,0.0,1.0500362527096432,1.0500362527096432,0.0,0.0,0.0,0.0,0.0,,,1.3755536079406738,2.859255313873291,-1.4897873401641846,0.0,1.3520546559884679,48.853714555552386,,['simulator_acceleration_field_stuck'],,
5,accelerator,30,complete,3,3,1.5822622850199788,0.0,velocity_derived,0.0,0.0,1.5822622850199788,1.5822622850199788,0.0,0.0,0.0,0.0,0.0,,,1.3700053691864014,3.5520389080047607,-2.1818184852600098,0.0,1.326175754016731,48.259063556362214,,['simulator_acceleration_field_stuck'],,
