sample_id,source_stamp_ns,reason,detail
static_20260805_003151_1785857512298806619,1785857512298806619,actor_timestamp_gap,nearest_delta_ms=865.928243
static_20260805_003151_1785857512408946596,1785857512408946596,actor_timestamp_gap,nearest_delta_ms=755.788266
static_20260805_003151_1785857512521292259,1785857512521292259,actor_timestamp_gap,nearest_delta_ms=643.442603
static_20260805_003151_1785857512753620139,1785857512753620139,actor_timestamp_gap,nearest_delta_ms=411.114723
static_20260805_003151_1785857512847078108,1785857512847078108,actor_timestamp_gap,nearest_delta_ms=317.656754
static_20260805_003151_1785857513099635704,1785857513099635704,actor_timestamp_gap,nearest_delta_ms=65.099158
static_20260805_003151_1785857569343982207,1785857569343982207,actor_timestamp_gap,nearest_delta_ms=33.167167
static_20260805_003151_1785857579352799357,1785857579352799357,actor_timestamp_gap,nearest_delta_ms=39.448469
static_20260805_003151_1785857619442948867,1785857619442948867,actor_timestamp_gap,nearest_delta_ms=31.734661
static_20260805_003151_1785857629493317938,1785857629493317938,actor_timestamp_gap,nearest_delta_ms=35.606936
static_20260805_003151_1785857643957562658,1785857643957562658,actor_timestamp_gap,nearest_delta_ms=30.772341
static_20260805_003151_1785857644911663940,1785857644911663940,actor_timestamp_gap,nearest_delta_ms=31.044206
static_20260805_003151_1785857665079031663,1785857665079031663,actor_timestamp_gap,nearest_delta_ms=34.245020
static_20260805_003151_1785857699732365723,1785857699732365723,actor_timestamp_gap,nearest_delta_ms=51.851386
