epoch,train_loss,val_loss,grad_norm_mean,grad_norm_max,any_nan_train,any_nan_val,n_norm_overflow_batches,n_element_nonfinite_batches
0,522287874.48926026,0.7658022411890253,103442778761.76491,802386276260734.8,False,False,0,0
1,0.7492022250629016,0.7530318448027241,0.5605885579153502,8.575772354360899,False,False,0,0
2,0.7520585925691334,0.7605374182513194,31.503523939239702,236475.3851600386,False,False,0,0
3,0.9828118819603144,0.7537292054747392,24615.541864475406,190613227.36302066,True,False,0,0
4,1.8269205993081976,0.7544855267939095,4000.7598086984685,30884281.193475507,False,False,0,0
5,0.7464535663789721,0.7467933500989224,6.087445109199364,43299.61166716308,False,False,0,0
6,62418756.05777805,0.7596805650686872,inf,inf,True,False,6,0
7,0.7398204871633318,0.7458607519010171,0.4877488150381449,29.139817058371243,False,False,0,0
8,4142.342843170896,0.8596637010109198,inf,inf,True,False,6,0
9,1437562.6465841767,0.7467319484978682,999351452320241.5,7.746859800365556e+18,False,False,0,0
10,22119299.987040553,0.9887737992615205,inf,inf,True,False,7,0
11,2251434684660.767,0.7832689266921817,inf,inf,True,False,2,0
12,129316767281.69742,0.813678203642767,inf,inf,True,False,27,0
13,1598.2200908685882,0.7547021681897617,2682251.418917028,20670064911.547894,False,False,0,0
14,1971442352.585342,0.7594661070085821,1098705174083.8209,7666458725252824.0,False,False,0,0
15,10830424502.409632,0.754255208673751,inf,inf,True,False,1,0
16,0.9911016082297254,0.8198614562534569,264104768.09408313,1866890437378.5305,False,False,0,0
17,18313348.1457774,0.7873079901853931,inf,inf,True,False,9,0
18,0.7547826560816154,0.7509218330932168,1.3629445239329174,5213.013597161126,False,False,0,0
19,14081611.757399665,0.9048714533597729,nan,nan,True,False,17,1
20,105681487882.81902,0.7684902760263537,inf,inf,True,False,1,0
21,6480400059.814259,0.7810451376232149,36372039135955.98,2.7909401474371126e+17,False,False,0,0
22,3342.589227668108,0.844519884648464,inf,inf,True,False,2,0
