epoch,train_loss,val_loss,grad_norm_mean,grad_norm_max,any_nan_train,any_nan_val,n_norm_overflow_batches,n_element_nonfinite_batches
0,476500.621780695,0.7982368315243004,84107988.62657242,652419744229.5856,False,False,0,0
1,296.5901071382976,0.7949180894654863,61740.799555410325,478905765.9323421,False,False,0,0
2,0.775050654755712,0.7872007805168828,0.5685353037140073,126.843731476628,False,False,0,0
3,0.7773368757045713,0.7855337797980776,468.8702000470004,3630765.2414498935,False,False,0,0
4,413626542.92970175,0.785825919629871,inf,inf,True,False,2,0
5,0.7685909479629813,0.7849278074825222,0.5154700719786723,138.81786448736455,False,False,0,0
6,52752.54190610615,0.7784796768307287,148247753.82293814,1149820020978.454,False,False,0,0
7,0.7669294290345432,0.7828189550318579,0.7292607527065454,1831.59972669908,False,False,0,0
8,173.9725108558865,0.7783231921867783,182369378.43635115,1414639262963.7495,False,False,0,0
9,0.7741838914456058,0.7783287242304122,inf,inf,True,False,1,0
10,10379564.919181516,0.8775739824293449,inf,inf,True,False,1,0
11,19.032992929866616,0.7855441008539769,33492.08029121534,259778820.72592005,False,False,0,0
12,1481919.9463206006,0.8095367198920037,inf,inf,True,False,9,0
13,2407932133.6899085,1.1952338242942806,inf,inf,True,False,4,0
14,15983513.901334697,0.8194432027696101,32499624263.988068,194491228003881.47,False,False,0,0
15,180.1815233407207,0.7904343435181556,23314.48256584586,178745245.07719523,False,False,0,0
16,1979558729.204793,0.8143116601118807,inf,inf,True,False,2,0
17,9.79017859676115,0.8005747286023503,547635270.7893591,3967688374341.047,False,False,0,0
18,1.127185113283336,0.7899849819499115,199.63352360443474,1057944.577974963,False,False,0,0
19,58132202476.77919,0.7891587363587176,inf,inf,True,False,4,0
20,725068319.5685954,69.17642176174533,inf,inf,True,False,33,0
21,139406916.93473098,298.1635140846738,inf,inf,True,False,2,0
22,1287296785953.3008,1.020121880249435,inf,inf,True,False,9,0
23,43676690432.13385,0.8620544547669864,61582881894692.88,4.429297762749197e+17,False,False,0,0
